Time,Concentration
11:46:09,5416
11:46:10,5122
11:46:11,5111
11:46:12,5244
11:46:13,5185
11:46:14,5147
11:46:15,5246
11:46:16,5042
11:46:17,5159
11:46:18,5165
11:46:19,5070
11:46:20,5068
11:46:21,4803
11:46:22,4910
11:46:23,5021
11:46:24,5264
11:46:25,5285
11:46:26,4829
11:46:27,4778
11:46:28,4810
11:46:29,4903
11:46:30,4738
11:46:31,4740
11:46:32,4766
11:46:33,4903
11:46:34,4710
11:46:35,4932
11:46:36,4883
11:46:37,4809
11:46:38,4916
11:46:39,4820
11:46:40,4786
11:46:41,4853
11:46:42,4690
11:46:43,4740
11:46:44,4816
11:46:45,4679
11:46:46,4871
11:46:47,4838
11:46:48,4872
11:46:49,4801
11:46:50,4782
11:46:51,4778
11:46:52,4795
11:46:53,4799
11:46:54,4845
11:46:55,4871
11:46:56,4865
11:46:57,4958
11:46:58,4900
11:46:59,4861
11:47:00,4810
11:47:01,4938
11:47:02,4811
11:47:03,4862
11:47:04,4977
11:47:05,4905
11:47:06,4869
11:47:07,4827
11:47:08,4871
11:47:09,4768
11:47:10,5079
11:47:11,4884
11:47:12,4866
11:47:13,4835
11:47:14,4939
11:47:15,4875
11:47:16,5002
11:47:17,4942
11:47:18,5038
11:47:19,4922
11:47:20,5021
11:47:21,5069
11:47:22,5147
11:47:23,4855
11:47:24,4964
11:47:25,4866
11:47:26,4998
11:47:27,5063
11:47:28,4924
11:47:29,4977
11:47:30,4925
11:47:31,4930
11:47:32,4946
11:47:33,4917
11:47:34,4973
11:47:35,4923
11:47:36,4941
11:47:37,4962
11:47:38,4934
11:47:39,4930
11:47:40,5120
11:47:41,4956
11:47:42,4945
11:47:43,4947
11:47:44,4996
11:47:45,4997
11:47:46,4985
11:47:47,5061
11:47:48,5034
11:47:49,4861
11:47:50,4932
11:47:51,5016
11:47:52,5040
11:47:53,5237
11:47:54,5379
11:47:55,5175
11:47:56,5164
11:47:57,5143
11:47:58,5119
11:47:59,5024
11:48:00,4970
11:48:01,4962
11:48:02,5096
11:48:03,5371
11:48:04,5350
11:48:05,5662
11:48:06,5560
11:48:07,5457
11:48:08,5516
11:48:09,5419
11:48:10,5484
11:48:11,5423
11:48:12,5301
11:48:13,5499
11:48:14,5299
11:48:15,5136
11:48:16,5271
11:48:17,5315
11:48:18,5380
11:48:19,5313
11:48:20,5306
11:48:21,5225
11:48:22,5284
11:48:23,5300
11:48:24,5173
11:48:25,5319
11:48:26,5310
11:48:27,5374
11:48:28,5378
11:48:29,5475
11:48:30,5372
11:48:31,5384
11:48:32,5411
11:48:33,5360
11:48:34,5390
11:48:35,5397
11:48:36,5426
11:48:37,5593
11:48:38,6135
11:48:39,7145
11:48:40,7404
11:48:41,8435
